茶壶茶杯A（下）|カップとポットA（下）
茶壶茶杯B（上）|カップとポットB（上）
茶壶茶杯C（左）|カップとポットC（左）
茶壶茶杯D（右）|カップとポットD（右）
茶杯A（下）|カップA（下）
茶杯B（上）|カップB（上）
茶杯C（左）|カップC（左）
茶杯D（右）|カップD（右）
酒瓶酒杯A（下）|グラスとボトルA（下）
酒瓶酒杯B（上）|グラスとボトルB（上）
酒瓶酒杯C（左）|グラスとボトルC（左）
酒瓶酒杯D（右）|グラスとボトルD（右）
酒杯A（下）|グラスA（下）
酒杯B（上）|グラスB（上）
酒杯C（左）|グラスC（左）
酒杯D（右）|グラスD（右）
啤酒瓶啤酒杯A（下）|ジョッキと瓶A（下）
啤酒瓶啤酒杯B（上）|ジョッキと瓶B（上）
啤酒瓶啤酒杯C（左）|ジョッキと瓶C（左）
啤酒瓶啤酒杯D（右）|ジョッキと瓶D（右）
啤酒杯A（下）|ジョッキA（下）
啤酒杯B（上）|ジョッキB（上）
啤酒杯C（左）|ジョッキC（左）
啤酒杯D（右）|ジョッキD（右）
茶壶|ポット
酒瓶A|ボトルA
酒瓶B|ボトルB
酒瓶C|ボトルC
打碎的酒瓶|割れたボトル
啤酒瓶A|瓶A
啤酒瓶B|瓶B
啤酒瓶C|瓶C
鱼肉料理|魚料理
肉料理|肉料理
小菜|副菜
果盘|フルーツ盛り合わせ
烤猪|丸焼き
蛋糕|ケーキ
披萨|ピザ
鱼肉料理|魚料理
晚餐套餐A（下）|夕食セットA（下）
晚餐套餐B（上）|夕食セットB（上）
晚餐套餐C（左）|夕食セットC（左）
晚餐套餐D（右）|夕食セットD（右）
馅饼|パイ
炒饭|チャーハン
迷之料理|謎の料理
失败料理|失敗料理
早餐套餐A（下）|朝食セットA（下）
早餐套餐B（上）|朝食セットB（上）
早餐套餐C（左）|朝食セットC（左）
早餐套餐D（右）|朝食セットD（右）
盘子A|皿A
碗|ボウル
盘子B|皿B
盘子C|皿C
合上的书A（下）|閉じた本A（下）
合上的书B（上）|閉じた本B（上）
合上的书C（左）|閉じた本C（左）
合上的书D（右）|閉じた本D（右）
打开的书A（下）|開いた本A（下）
打开的书B（上）|開いた本B（上）
打开的书C（左）|開いた本C（左）
打开的书D（右）|開いた本D（右）
合上的古文书A（下）|閉じた古文書A（下）
合上的古文书B（上）|閉じた古文書B（上）
合上的古文书C（左）|閉じた古文書C（左）
合上的古文书D（右）|閉じた古文書D（右）
打开的古文书A（下）|開いた古文書A（下）
打开的古文书B（上）|開いた古文書B（上）
打开的古文书C（左）|開いた古文書C（左）
打开的古文书D（右）|開いた古文書D（右）
笔记和笔A（下）|メモとペンA（下）
笔记和笔B（上）|メモとペンB（上）
笔记和笔C（左）|メモとペンC（左）
笔记和笔D（右）|メモとペンD（右）
地图A（下）|地図A（下）
地图B（上）|地図B（上）
地图C（左）|地図C（左）
地图D（右）|地図D（右）
信封和信|封筒と便箋
信封|封筒
卷轴A|巻物A
卷轴B|巻物B
花瓶|花瓶
盆栽A|植木鉢A
盆栽B|植木鉢B
花盆|プランター
盒子A|ケースA
盒子B|ケースB
信件盒|レターケース
砧板|まな板
小箱子A|小箱A
小箱子B|小箱B
小箱子C|小箱C
小箱子D|小箱D
袋子A|袋A
袋子B|袋B
袋子C|袋C
药瓶A|薬瓶A
药瓶B|薬瓶B
药瓶C|薬瓶C
药水A|液体入り瓶A
药水B|液体入り瓶B
篮子A|バスケットA
篮子B|バスケットB
篮子C|バスケットC
篮子D|バスケットD
毯子A|じゅうたんA
毯子B|じゅうたんB
毯子C|じゅうたんC
实验设备|実験器具
毛绒玩具A|ぬいぐるみA
毛绒玩具B|ぬいぐるみB
毛绒玩具C|ぬいぐるみC
毛绒玩具D|ぬいぐるみD
玩具娃娃A|人形A
玩具娃娃B|人形B
礼物A|プレゼントA
礼物B|プレゼントB
铲子|スコップ
鹤嘴锄|つるはし
绳子A|ロープA
绳子B|ロープB
吊坠|ペンダント
首饰盒A|宝石ケースA
项链|ネックレス
首饰盒B|宝石ケースB
剑A|剣A
剑B|剣B
剑C|剣C
斧|斧
枪A|槍A
枪B|槍B
鞭|鞭
短剑|短剣
厨具|調理器具
干花|ドライフラワー
盾A|盾A
盾B|盾B
男装A（挂墙）|男物の服A（壁掛け）
男装B（挂墙）|男物の服B（壁掛け）
女装A（挂墙）|女物の服A（壁掛け）
女装B（挂墙）|女物の服B（壁掛け）
剑架A|剣掛台A
剑架B|剣掛台B
锤|ハンマー
弓箭|弓矢
铁砧A|金床A
铁砧B|金床B
水槽|水桶
废铁|鉄くず
头盔A|兜A
头盔B|兜B
头盔C|兜C
帽子A（支架）|帽子A（スタンド）
帽子B（支架）|帽子B（スタンド）
帽子C（支架）|帽子C（スタンド）
女装（支架）|女物の服（スタンド）
连衣裙（支架）|ドレス（スタンド）
盔甲A（支架）|鎧A（スタンド）
盔甲B（支架）|鎧B（スタンド）
盔甲C（支架）|鎧C（スタンド）
盔甲D（支架）|鎧D（スタンド）
男装（支架）|男物の服（スタンド）
披肩（支架）|マント（スタンド）
袍子A（支架）|ローブA（スタンド）
袍子B（支架）|ローブB（スタンド）
教会标志|教会のシンボル
天使雕像A|天使像A
天使雕像B|天使像B
女神雕像|女神像
石像|石像
台座|台座
剑立架|剣立て
枪立架|槍立て
教会标志|教会のシンボル
天使雕像A|天使像A
天使雕像B|天使像B
女神雕像|女神像
石像|石像
损坏的石像|壊れた像
剑立架|剣立て
枪立架|槍立て
教堂桌子A|教会机A
教堂桌子A|教会机A
教堂桌子A|教会机A
教堂桌子B|教会机B
装饰柱A|装飾柱A
装饰柱B|装飾柱B
装饰柱A（废墟）|装飾柱A（廃墟）
装饰柱B（废墟）|装飾柱B（廃墟）
教堂桌子A|教会机A
教堂桌子A|教会机A
教堂桌子A|教会机A
