洞|透明
招牌A|看板A
招牌B|看板B
招牌C|看板C
铁桥（横）|鉄橋（横）
铁桥（纵）|鉄橋（縦）
蓄水池A|貯水池A
蓄水池B|貯水池B
小屋|小屋
窝棚|掘っ立て小屋
招牌D|看板D
石碑A|石碑A
石碑B|石碑B
风车|風車
抛物面天线|パラボラアンテナ
直升机停机坪|ヘリポート
入口A（开）|入口A（開）
入口A（关）|入口A（閉）
入口B（开）|入口B（開）
入口B（关）|入口B（閉）
入口C（开）|入口C（開）
入口C（关）|入口C（閉）
入口D（关）|入口D（閉）
入口E（关）|入口E（閉）
道路|道路
道路|道路
禁止通行|通行止め
岩石山|岩山
岩石山|岩山
山|山
山|山
针叶树A|針葉樹A
道路|道路
道路|道路
道路|道路
岩石山|岩山
岩石山|岩山
山|山
山|山
针叶树B|針葉樹B
道路|道路
道路|道路
道路|道路
岩石山|岩山
岩石山|岩山
山|山
山|山
阔叶树|広葉樹
道路|道路
道路|道路
道路|道路
岩石山|岩山
岩石山|岩山
山|山
山|山
损毁的建筑群|壊れたビル街
城镇A|町A
城镇B|町B
贫民窟A|スラム街A
贫民窟B|スラム街B
宅邸A|邸宅A
宅邸A|邸宅A
大门A|ゲートA
大门B|ゲートB
商店街A|商店街A
商店街B|商店街B
建筑群A|ビル街A
建筑群B|ビル街B
宅邸B|邸宅B
宅邸B|邸宅B
大门C|ゲートC
大门D|ゲートD
住宅区|住宅街
住宅区|住宅街
贫民窟|スラム街
贫民窟|スラム街
学校|学校
学校|学校
医院|病院
医院|病院
住宅区|住宅街
住宅区|住宅街
贫民窟|スラム街
贫民窟|スラム街
学校|学校
学校|学校
医院|病院
医院|病院
城市A|街A
城市A|街A
城市B|街B
城市B|街B
住宅A|屋敷A
住宅A|屋敷A
住宅B|屋敷B
住宅B|屋敷B
城市A|街A
城市A|街A
城市B|街B
城市B|街B
住宅A|屋敷A
住宅A|屋敷A
住宅B|屋敷B
住宅B|屋敷B
桥A（纵）|橋A（縦）
桥A（横）|橋A（横）
崩塌的桥A（纵）|壊れた橋A（縦）
崩塌的桥A（横）|壊れた橋A（横）
桥B（纵）|橋B（縦）
桥B（横）|橋B（横）
崩塌的桥B（纵）|壊れた橋（縦）
崩塌的桥B（横）|壊れた橋（横）
大楼A|ビルA
大楼B|ビルB
大楼C|ビルC
大楼D|ビルD
公寓|マンション
公寓群|マンション群
崩塌的大楼A|崩壊したビルA
崩塌的大楼B|崩壊したビルB
大楼A|ビルA
大楼B|ビルB
大楼C|ビルC
大楼D|ビルD
公寓|マンション
公寓群|マンション群
崩塌的大楼A|崩壊したビルA
崩塌的大楼B|崩壊したビルB
大型城镇A|大きな町A
大型城镇A|大きな町A
娱乐区A|歓楽街A
娱乐区A|歓楽街A
警察局|警察署
警察局|警察署
坑A|クレーターA
坑A|クレーターA
大型城镇A|大きな町A
大型城镇A|大きな町A
娱乐区A|歓楽街A
娱乐区A|歓楽街A
警察局|警察署
警察局|警察署
坑A|クレーターA
坑A|クレーターA
大型城镇B|大きな町B
大型城镇B|大きな町B
娱乐区B|歓楽街B
娱乐区B|歓楽街B
博物馆|博物館
博物馆|博物館
坑B|クレーターB
坑B|クレーターB
大型城镇B|大きな町B
大型城镇B|大きな町B
娱乐区B|歓楽街B
娱乐区B|歓楽街B
博物馆|博物館
博物馆|博物館
坑B|クレーターB
坑B|クレーターB
仓库A|倉庫A
仓库A|倉庫A
工厂|工場
工厂|工場
仓库B|倉庫B
门式起重机|ガントリークレーン
公园|公園
坑C|クレーターC
仓库A|倉庫A
仓库A|倉庫A
工厂|工場
工厂|工場
仓库B|倉庫B
门式起重机|ガントリークレーン
雕像A|像A
雕像B|像B
燃料罐|燃料タンク
燃料罐|燃料タンク
工地|工事現場
工地|工事現場
岗楼|監視塔
铁塔|鉄塔
塔A|タワーA
塔B|タワーB
燃料罐|燃料タンク
燃料罐|燃料タンク
工地|工事現場
工地|工事現場
岗楼|監視塔
铁塔|鉄塔
塔A|タワーA
塔B|タワーB
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙（大门）|外壁（門）
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙（大门）|外壁（門）
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
外墙|外壁
主题公园|テーマパーク
主题公园|テーマパーク
港口|港湾
港口|港湾
军事基地|軍事基地
军事基地|軍事基地
圆顶体育场|ドーム
圆顶体育场|ドーム
主题公园|テーマパーク
主题公园|テーマパーク
港口|港湾
港口|港湾
军事基地|軍事基地
军事基地|軍事基地
圆顶体育场|ドーム
圆顶体育场|ドーム
灯塔|灯台
崩塌的灯塔|壊れた灯台
寺庙|寺院
教堂|教会
墓地A|墓地A
墓地B|墓地B
监狱|刑務所
监狱|刑務所
